Time,ECG,Stethoscope
2.525,0.373825,-0.00494672
2.53,0.395279,-0.00309649
2.535,0.419555,-0.0024834
2.54,0.444658,0.00153244
2.545,0.468613,0.00163567
2.55,0.491581,-0.00398528
2.555,0.514406,-0.00537887
2.56,0.536153,-0.00346224
2.565,0.555159,-0.000592446
2.57,0.570936,-0.0012313
2.575,0.583187,-0.00349203
2.58,0.590847,-0.00249879
2.585,0.593136,-0.00443621
2.59,0.589571,-0.00410657
2.595,0.578628,-0.00524381
2.6,0.557059,-0.00684171
2.605,0.523122,-0.00652169
2.61,0.479073,0.000221217
2.615,0.428406,-0.00150564
2.62,0.37413,-0.00603211
2.625,0.319546,-0.000102042
2.63,0.268613,9.38E-05
2.635,0.223775,-0.00211442
2.64,0.184692,-0.00346001
2.645,0.150575,-0.00104772
2.65,0.121568,-0.00219624
2.655,0.0972129,-0.00266004
2.66,0.0758327,-0.00705805
2.665,0.0567211,-0.00896042
2.67,0.0411939,-0.00437807
2.675,0.0299832,-0.00201266
2.68,0.0211589,-0.00203185
2.685,0.0130141,-4.81E-06
2.69,0.00580113,-0.00218698
2.695,-0.00052233,-0.00618637
2.7,-0.00740971,-0.004958
2.705,-0.0153642,0.00569915
2.71,-0.0231269,-0.00752178
2.715,-0.0300134,-0.0355445
2.72,-0.0367005,0.0189341
2.725,-0.0430688,0.00579734
2.73,-0.0481051,0.00501881
2.735,-0.0522746,-0.00519989
2.74,-0.0575944,-0.00775633
2.745,-0.0647394,-0.00750128
2.75,-0.071903,-0.0094305
2.755,-0.077838,0.000391276
2.76,-0.0831151,0.00471933
2.765,-0.0881789,-0.00367331
2.77,-0.0921447,-0.00511067
2.775,-0.0945486,-0.00550932
2.78,-0.0970368,-0.00202248
2.785,-0.101351,-0.000588521
2.79,-0.106974,-0.00332435
2.795,-0.112623,-0.00518363
2.8,-0.118913,-0.00204587
2.805,-0.126229,-7.80E-05
2.81,-0.133054,-0.00472724
2.815,-0.138367,-0.00635968
2.82,-0.143493,-0.00510343
2.825,-0.149927,-0.00296801
2.83,-0.15702,0.000257199
2.835,-0.163805,-0.00108204
2.84,-0.170433,-0.00268562
2.845,-0.176857,-0.00494441
2.85,-0.182005,-0.00880354
2.855,-0.185801,-0.0105543
2.86,-0.190225,-0.013122
2.865,-0.195565,-0.00604033
2.87,-0.199893,0.00247279
2.875,-0.202623,0.00505582
2.88,-0.205381,0.00343886
2.885,-0.209465,-8.88E-05
2.89,-0.214257,-0.00140671
2.895,-0.218983,-0.000299933
2.9,-0.224107,-0.00158194
2.905,-0.229605,-0.0042639
2.91,-0.233781,-0.00371868
2.915,-0.23608,-0.00307565
2.92,-0.238304,-0.0043329
2.925,-0.241141,-0.00469848
2.93,-0.24284,-0.00406114
2.935,-0.242614,-0.00789755
2.94,-0.242542,-0.00497456
2.945,-0.243889,-0.00117208
2.95,-0.245628,-0.00291987
2.955,-0.246761,-0.00176386
2.96,-0.24832,-0.00368678
2.965,-0.251213,-0.00214038
2.97,-0.254254,-0.00162018
2.975,-0.256018,-0.00211773
2.98,-0.256988,-0.00220575
2.985,-0.258138,-0.00394183
2.99,-0.259056,-0.00352227
2.995,-0.259976,-0.00502159
3,-0.262365,-0.00731263
3.005,-0.266448,-0.00751249
3.01,-0.270373,-0.00375991
3.015,-0.272551,-0.00298245
3.02,-0.273508,-0.000289954
3.025,-0.274067,1.18E-05
3.03,-0.274179,0.000269691
3.035,-0.274552,-0.00109554
3.04,-0.276378,-0.00341884
3.045,-0.279491,-0.00198457
3.05,-0.281865,-0.00232853
3.055,-0.282605,-0.00271322
3.06,-0.28334,-0.00537521
3.065,-0.285159,-0.00360282
3.07,-0.286423,-0.00446204
3.075,-0.284461,-0.00497561
3.08,-0.277785,-0.00597199
3.085,-0.266628,-0.00471439
3.09,-0.252304,-0.00265319
3.095,-0.237813,-0.00405643
3.1,-0.22521,-0.00316702
3.105,-0.212598,-0.0019304
3.11,-0.194962,-0.00190127
3.115,-0.168619,-0.00232877
3.12,-0.135299,-0.00145336
3.125,-0.101767,-0.000812656
3.13,-0.0748382,-0.00294375
3.135,-0.0580303,-0.00763537
3.14,-0.0527817,-0.0067401
3.145,-0.0586392,-0.00599928
3.15,-0.0743348,-0.00497041
3.155,-0.100157,-0.000212247
3.16,-0.136543,-0.000245686
3.165,-0.180129,-0.000980629
3.17,-0.223493,-1.51E-05
3.175,-0.260211,5.75E-05
3.18,-0.288388,-0.00554543
3.185,-0.308663,-0.00602998
3.19,-0.322132,-0.00552373
3.195,-0.331548,-0.00400521
3.2,-0.340314,-0.00311863
3.205,-0.349774,-0.00209321
3.21,-0.358395,-0.0031185
3.215,-0.364933,-0.00630523
3.22,-0.370171,-0.00478774
3.225,-0.374818,-0.000630268
3.23,-0.37739,0.00142962
3.235,-0.3768,-0.00129648
3.24,-0.374176,-0.00451289
3.245,-0.371508,-0.0048904
3.25,-0.36969,-0.00516474
3.255,-0.371792,-0.00354547
3.26,-0.386018,-0.00130016
3.265,-0.414206,-0.00284616
3.27,-0.43135,-0.00510741
3.275,-0.390267,-0.00733531
3.28,-0.2397,-0.00692344
3.285,0.0529558,-0.00855909
3.29,0.447493,-0.00840184
3.295,0.825329,-0.0036823
3.3,1.06515,0.0102983
3.305,1.10998,0.0162695
3.31,0.980178,0.000906101
3.315,0.748224,-0.000351168
3.32,0.493813,0.00137114
3.325,0.273568,-0.0222671
3.33,0.111603,-0.035766
3.335,0.00501956,-0.0117482
3.34,-0.0619342,-0.00429873
3.345,-0.104188,0.0155036
3.35,-0.13105,0.0349333
3.355,-0.148421,0.0214193
3.36,-0.160855,-0.0190929
3.365,-0.170612,-0.0290599
3.37,-0.176271,-0.0167592
3.375,-0.176104,0.00192365
3.38,-0.171613,0.0026826
3.385,-0.16503,-0.00173981
3.39,-0.156457,0.00093689
3.395,-0.145755,0.00178529
3.4,-0.134614,-0.00429063
3.405,-0.123677,-0.00899983
3.41,-0.111361,-0.0082845
3.415,-0.0965009,-0.00507382
3.42,-0.0800717,0.00104368
3.425,-0.0636947,-0.00262045
3.43,-0.0474266,-0.00868844
3.435,-0.0301119,-0.00560535
3.44,-0.011825,-0.00921954
3.445,0.00677286,-0.00562391
3.45,0.0264716,-0.00241912
3.455,0.0475532,-0.000872775
3.46,0.0687271,0.00212958
3.465,0.0892889,7.47E-05
3.47,0.11049,0.00112869
3.475,0.132521,-0.000705051
3.48,0.152871,-0.00168568
3.485,0.169829,-0.00202316
3.49,0.183781,-0.00587046
3.495,0.195335,-0.0062466
3.5,0.202804,-0.00703203
3.505,0.20469,-0.00696403
3.51,0.20147,-0.00539994
3.515,0.192328,-0.00431238
3.52,0.174129,-0.00190906
3.525,0.145142,0.000616425
3.53,0.107341,-0.00278357
3.535,0.0646935,-0.00189513
3.54,0.0193864,-0.00118393
3.545,-0.0262875,-0.00118197
3.55,-0.0680033,-0.000795891
3.555,-0.102854,-0.00282399
3.56,-0.131316,-0.00353272
3.565,-0.154886,-0.00524836
3.57,-0.173065,-0.00404144
3.575,-0.185036,-0.00385169
3.58,-0.192627,-0.0074862
3.585,-0.198266,-0.00418281
3.59,-0.202114,-0.00266208
3.595,-0.203684,-0.00291146
3.6,-0.204354,-0.00426177
3.605,-0.205903,-0.00457411
3.61,-0.208068,-0.00323802
3.615,-0.209017,-0.00494066
3.62,-0.208294,-0.00308687
3.625,-0.206436,0.00743607
3.63,-0.20289,0.00473464
3.635,-0.197398,-0.0353492
3.64,-0.191402,0.004594
3.645,-0.185746,0.00710233
3.65,-0.179779,0.00350389
3.655,-0.173424,-0.000689169
3.66,-0.167946,0.00100709
3.665,-0.162853,-0.00129906
3.67,-0.156047,-0.00696491
3.675,-0.146083,-0.0055749
3.68,-0.134192,-0.00826523
3.685,-0.122401,-0.005647
3.69,-0.111322,-0.00655805
3.695,-0.100424,-0.01131
3.7,-0.0897443,-0.00358833
3.705,-0.0798244,-0.00174459
3.71,-0.0698801,0.00691753
3.715,-0.0594254,-0.00416058
3.72,-0.0495111,-0.00729712
3.725,-0.0407419,-5.77E-05
3.73,-0.0319998,1.26E-05
3.735,-0.0222733,-0.0077709
3.74,-0.0127624,-0.00552024
3.745,-0.00476327,-0.00253951
3.75,0.00246107,0.000923117
3.755,0.00936918,0.000592735
3.76,0.014936,-0.000696433
3.765,0.0194991,-0.000719293
